Title for website and text service	Onward link (non-referral)	Description for website and text service	Support type	Min age	Max age	National?	Free?	Service type	Risk type	Support Finder & Text Bot Rank	List of Services Rank	Tent Service?	Tent Service Redirect	Text Bot Referral Description	Text Bot Referral Start word	Text Referral Available?	Content status	Checked?
Join a Storms weekly group walk (free)	https://www.sunflowerssuicidesupport.org.uk/Bereavement-Support/	Walk with others if you're struggling, no matter what with. Walks last about an hour and are child and dog friendly. Each week's walk is in a different place.   If you're under 18, you'll need an adult to go with you.  Walks start on Sundays at 2.30pm.	meetOthersGoingThroughSomethingSimilar	0	100	local, localGP	free	bereavement	lowMediumRisk	50		FALSE				FALSE		Y
Try the Stress and Anxiety Companion app (free)	https://www.nhs.uk/apps-library/stress-anxiety-companion/	An app that helps you handle stress and anxiety on the go. Using breathing exercises, relaxing music and games designed to calm your mind, it will help you to change negative thoughts and cope with life's ups and downs. 	onlineToolkits	13	100	national	free	feelingWorriedAndAnxious	lowMediumRisk	50		FALSE				FALSE		Y
Contact Stroud Women's Refuge for support with domestic abuse (free)	https://www.stroudwomensrefuge.org/	A women's only refuge in Gloucestershire. Stroud Women's Refuge also runs services to help prevent domestic abuse, and support you if you're at risk.  If you or someone you know needs domestic abuse support, call 01453 764 385 from Monday to Friday, 9am to 5pm.	counselling	16	100	local, localGP	free	domesticAbuseAndEmotionalAbuse	lowMediumRisk	50		FALSE				FALSE		Y
Get counselling if someone close to you has died by suicide (free)	https://www.sunflowerssuicidesupport.org.uk/Bereavement-Support/	Sunflower Suicide Support will fund up to 6 sessions with a trained counsellor to help you with how you're feeling.  If you're under 18, you'll need a parent or caregiver's permission to use the service.	counselling	0	100	local, localGP	free	bereavement	lowMediumRisk	50		FALSE				FALSE		Y
Get support from the suicide crisis centre (free)	http://www.suicidecrisis.co.uk/suicide/	Based in Cheltenham, the suicide crisis centre can support you face-to-face if you're feeling suicidal. They can also continue to support you over the longer term. For ages 18 and over.  Call 07975 974 455 from Monday to Friday, 9am to 10pm.	counselling	18	100	local, localGP	free	suicide	lowMediumRisk	50		FALSE				FALSE		Y
Get tailored support from Community Advice, Links & Mental Health Support Service (CALMHS)	http://www.independencetrust.co.uk/CALMHS/about	Improve your mental health by connecting with others.  You'll need a referral - you can refer yourself, or ask a healthcare professional, like your GP, to do it for you. For ages 18 and over.  Call CALMHS on 0345 863 8323	socialPrescribing, meetOthersGoingThroughSomethingSimilar	18	100	local	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Call The Door Line team (free)	https://www.thedoor.org.uk/support/young-people/	If you need someone to talk to and offload about your day, or listen to you and help work things out, the friendly Door Line team can help. For ages 11 to 25.  Call The Door Line on 01453 705 350, Monday to Friday, 5pm to 7pm. 	helpline	11	25	national	paid	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Drop into The Link (free)	https://www.youngglos.org.uk/young-people/practical-support/the-link	The Link's friendly team is there to chat with you about what you want to achieve. They have specialist workers in drugs and alcohol, and mental health.  Call The Link on 01452 501 008  They're open Monday to Friday, 11am to 4pm. 	dropIn	16	25	local	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Call or email the SOS Silence of Suicide Listening Line (free)	https://sossilenceofsuicide.org/what-where-why/	A helpline for anyone who needs emotional support, understanding, and kindness. If you're struggling, the Listening Line is there to support you.  Call 0300 102 0505 everyday, from 4pm to 12am.	helpline	12	100	national	free	suicide	lowMediumRisk	50		FALSE				FALSE		Y
Get help from The Mix helpline and 24/7 Crisis Messenger (free)	https://www.themix.org.uk/get-support/speak-to-our-team/crisis-messenger	Call The Mix helpline on 0808 808 4994, everyday from 3pm to 12am.  If you feel like you can’t cope or are worried about how you're feeling, text THEMIX to The Mix Crisis Messenger on 85258	helpline	0	25	national	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Join The Mix group chat and discussion boards (free)	https://www.themix.org.uk/get-support/group-chat	A safe online space to look for support on a problem you might be facing, or use your listening skills to help others. For ages 11 to 25.	meetOthersGoingThroughSomethingSimilar	11	25	national	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Get telephone and webchat counselling from The Mix (free)	https://www.themix.org.uk/get-support/speak-to-our-team/the-mix-counselling-service	For short-term help with your mental health and emotional wellbeing, try The Mix's free, confidential counselling service. Get up to 8 counselling sessions lasting around 50 minutes each. For ages 25 and under.	counselling	11	25	national	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Learn tools to help your mental health with the i am me app (free) 	https://www.iammeapp.com/	i am me is a free app that gives you tools and tips to help you to look after your own mental health. Track your mood and stress levels, learn coping techniques and get inspired by articles. For ages 11 to 24. 	onlineToolkits	13	24	national	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Get one-to-one and group support from the Trauma Centre (free)	http://www.suicidecrisis.co.uk/trauma/	The centre offers one-to-one support, and runs a trauma group which is led by a psychological therapist and supported by a psychologist. If you can't get to the centre, the team also does some outreach work. For ages 18 and over.  Call the Trauma centre on 07975 974 455	counselling, meetOthersGoingThroughSomethingSimilar	18	100	local, localGP	free	trauma	lowMediumRisk	50		FALSE				FALSE		Y
Get help from TiC+ chat (free)	https://www.ticplus.org.uk/ticpluschat/	Get one-to-one support from TiC+ chat - an anonymous, safe, and confidential support service. For ages 9 to 21.  Chat online or call TiC+ on 0300 303 8080 from Sunday to Thursday, 5pm to 9pm.  	helpline	9	21	local	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Get support at the Alexandra Wellbeing House (free)	https://www.sgmind.org.uk/the-alexandra/	Alexandra Wellbeing House is a non-clinical, therapeutic environment to pause, reflect and work on feeling better.  You'll need a referral from a healthcare professional, like a GP, care coordinator or support worker. For ages 18 and over.	specialistSupport	18	100	local	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Text the Winston's Wish 24/7 crisis messenger (free)	https://www.winstonswish.org/crisis-messenger/	Need help now? If you feel like you're in crisis and need support, text WW to 85258 and a trained volunteer will help you work through what you're feeling and plan your next steps.	helpline	0	100	national	free	bereavement	lowMediumRisk	50		FALSE				FALSE		Y
Get one-to-one grief support from Winston's Wish online chat (free)	https://www.winstonswish.org/online-chat/	If someone you care about has died, Winston's Wish online chat can give you guidance, support and advice to help you sort through your feelings. For ages 25 and under.  Online chat is available on:  - Tuesdays, 1pm to 5pm  - Fridays, 9.30am to 1pm	helpline	0	25	national	free	bereavement	lowMediumRisk	50		FALSE				FALSE		Y
Text the Young Minds 24/7 crisis messenger (free)	https://youngminds.org.uk/find-help/get-urgent-help/youngminds-crisis-messenger/	If you feel like you're in a mental health crisis, Young Minds confidential crisis messenger is here to help. They'll listen, help you think more clearly and plan your next step to feeling better.  Text YM to 85258 anytime of day or night.	helpline	0	100	national	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Stop by at The Cavern (free)	https://www.kftseekers.org.uk/youth-support-service	The Cavern's is open to anyone who needs a safe space to spend time in. Meet others, play games, listen to music and talk to The Cavern Team.   Call The Cavern on 01452 307 201  Support is available from:  - Monday to Saturday, 10am to 11pm  - Sunday, 4pm to 11pm 	dropIn	13	100	local	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Drop in to The Cavern for mental health support (free)	https://www.kftseekers.org.uk/support-at-the-cavern	Need a chat? The Cavern's friendly team are around to lend a listening ear to anyone who needs one. For ages 18 and over.  Call The Cavern on 01452 307 201  Support at The Cavern happens every night between 6pm and 11pm.	dropIn	18	100	local	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		
Join Ditch The Label's online forum (free)	https://community.ditchthelabel.org/community/	Ditch The Label is a free, supportive and anonymous community of experts and real people to ask questions, advice and support.   Whatever you're dealing with, the Ditch The Label community is ready to help. For ages 12 to 25.	meetOthersGoingThroughSomethingSimilar	12	25	national	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Speak to a counsellor online at Share (free)	https://www.shareypcs.org.uk/	Share offers online counselling for ages 11 to 25.   To arrange counselling, text 07928 775 013 with:  - your name - date of birth - the first part of your post code (for example, GL15)	counselling	11	25	local	free	generic, sexualAbuseOrAssault, domesticAbuseOrEmotionalAbuse, genderIdentityOrSexuality, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Get support from Silver Clouds (paid)	https://silvercloudscounselling.co.uk/	Sessions can happen in a private space in Gloucester, or at school, home or work. Silver Clouds can help you build confidence and learn ways of coping. For ages 4 and over.  Call 07532 347 253  If you're under 18, you'll need a parent or carer's permission.	counselling 	4	100	local, localGP	paid	bereavement, feelingWorriedAndAnxious, trauma	lowMediumRisk	50		FALSE				FALSE		Y
Talk to your local Victim Support (free)	https://www.victimsupport.org.uk/resources/gloucestershire/	If you’ve been affected by a crime, call:  - 0808 281 0112 if you're over 18 - 0808 281 2446 if you're under 18  Lines open Monday to Friday, 9am to 8pm.  For help outside these times, call Supportline on 0808 168 9111, use the 24/7 live chat service or the online form.	helpline 	0	100	local, localGP	free	domesticAbuseAndEmotionalAbuse, sexualAbuseOrAssault, trauma, homeless	lowMediumRisk	50		FALSE				FALSE		Y
Get support from Sands after losing a baby (free)	https://www.sands.org.uk/support-you/how-we-offer-support	Talk to a trained counsellor using the online GriefChat service, or phone the helpline.   Call Sands on 0808 164 3332  The helpline is open:  - Monday to Friday, 10am to 3pm  - Tuesday and Thursday, 6pm to 9pm	helpline, meetOthersGoingThroughSomethingSimilar	0	100	national	free	miscarriageOrPregnancyRelatedIssues	lowMediumRisk	50		FALSE				FALSE		Y
Call the MindLine Trans+ helpline (free)	https://bristolmind.org.uk/help-and-counselling/mindline-transplus/	For people who identify as transgender, agender, gender fluid and non-binary. Talk about your feelings confidentially. MindLine Trans + will listen and support you.  Call MindLine Trans+ on 0300 330 5468, from Monday to Friday, 8pm to 12am. 	helpline	0	100	national	free	genderIdentityOrSexuality	lowMediumRisk	50		FALSE				FALSE		Y
Read Stonewall's advice on coming out as LGBTQ+ (free)	https://www.stonewall.org.uk/help-advice/coming-out/coming-out-young-person	Stonewall’s guides cover some of the most common questions you might have if you're thinking about coming out as lesbian, gay, bi, and/or trans.	onlineToolkits	13	100	national	free	genderIdentityOrSexuality	lowMediumRisk	50		FALSE				FALSE		Y
Get advice if you're questioning with your gender identity or sexuality (free)	https://www.theproudtrust.org/for-young-people/advice-and-support/questioning-your-sexuality/	The Proud Trust provides guidance and resources to help you if you're struggling with issues around your gender identity or sexuality. 	onlineToolkits	13	100	national	free	genderIdentityOrSexuality	lowMediumRisk	50		FALSE				FALSE		Y
Join the Trans* Gloucester support group (free)	https://www.transunite.co.uk/group/trans-gloucester/	A social support group aimed at trans folk whose gender identity does not match the sex they were assigned at birth.  The group meets fortnightly at the Warehouse Climbing Center Café in Gloucester.	meetOthersGoingThroughSomethingSimilar	0	100	local	free	genderIdentityOrSexuality	lowMediumRisk	50		FALSE				FALSE		Y
